text,label,timestamp
I've been cutting myself again. I've tried medication but nothing helps. The physical pain distracts from the emotional torture.,1,2024-09-20 22:57:37
I've been cutting myself again. The darkness is consuming me completely. The physical pain distracts from the emotional torture.,1,2025-03-06 00:12:12
I can't take it anymore. Everything feels pointless and I don't see a reason to continue. I've been stockpiling pills just in case.,1,2025-04-17 01:05:15
I've been feeling a bit down lately. I'm trying new hobbies to distract myself positively. But I'm trying to stay positive.,0,2025-06-01 16:23:14
I've been planning how to kill myself. My depression has never been this bad before. I don't see any other way out.,1,2025-01-13 07:32:20
Work has been stressful this week. I've been exercising more to help with my mood. I need to find better coping mechanisms.,0,2025-02-13 17:13:34
I had trouble sleeping last night. I'm trying to be kinder to myself during this time. Going to try meditation tonight.,0,2024-08-13 12:46:23
"I feel completely hopeless. I can't sleep, I can't eat, I can't function. I just want the pain to stop.",1,2024-10-31 09:28:22
I had trouble sleeping last night. I'm trying new hobbies to distract myself positively. Going to try meditation tonight.,0,2024-08-10 06:26:09
I can't take it anymore. Everything feels pointless and I don't see a reason to continue. My family would be better off without me.,1,2024-09-24 10:19:54
I've been thinking about ending it all. I've lost my job and have no purpose anymore. No one would miss me anyway.,1,2025-06-04 04:06:58
I can’t tell if I’m just tired or something more. It’s hard to focus on anything.,0,2024-11-03 19:44:38
My friend and I had an argument. I know this is temporary and will pass. I hope we can work things out.,0,2025-05-06 11:48:36
"I feel completely hopeless. I can't sleep, I can't eat, I can't function. I just want the pain to stop.",1,2025-05-28 13:44:53
My friend and I had an argument. I'm considering talking to a therapist about it. I hope we can work things out.,0,2025-03-02 12:22:12
I’ve been isolating myself lately. I haven’t talked to anyone about it yet. It’s just easier.,0,2024-12-20 09:31:32
My mood has been up and down. I've been reading self-help books that give me perspective. I'm trying to identify my triggers.,0,2024-08-10 10:37:48
There’s a heaviness I can’t explain. But I’m still trying to keep it together.,1,2025-01-14 19:40:38
I'm feeling a bit overwhelmed with responsibilities. I'm practicing self-care when I can. Need to prioritize better.,0,2024-10-21 23:20:42
I hate myself so much. I feel like I'm drowning and can't breathe. I don't deserve to live.,1,2025-06-03 16:52:51
My mood has been up and down. I know this is temporary and will pass. I'm trying to identify my triggers.,0,2025-01-24 01:31:53
I've written my goodbye note. I feel like I'm drowning and can't breathe. I'm just waiting for the right moment.,1,2025-02-11 07:37:57
I'm worried about my upcoming exam. I've been reading self-help books that give me perspective. I'm studying hard but still feel nervous.,0,2024-12-04 06:29:48
I'm feeling a bit overwhelmed with responsibilities. My friends have been supportive. Need to prioritize better.,0,2025-03-13 00:29:04
I had an anxiety attack yesterday. I've been exercising more to help with my mood. Breathing exercises helped me through it.,0,2025-02-15 12:20:40
I can’t tell if I’m just tired or something more. But I’m still trying to keep it together.,1,2025-04-14 12:42:28
I hate myself so much. I'm exhausted from pretending to be okay. I don't deserve to live.,1,2025-05-20 07:03:07
"Some days I feel like giving up, other days I feel hopeful. I’m not sure if I need help or not.",1,2024-08-09 12:44:49
I've been feeling unmotivated lately. I'm trying to maintain a routine to stay grounded. Looking for ways to get my energy back.,0,2024-12-05 00:14:10
My friend and I had an argument. I'm trying to be kinder to myself during this time. I hope we can work things out.,0,2025-06-25 20:45:02
Lately I’ve been feeling lost. I wish I knew what to do. I'm not sure what to make of it.,1,2025-03-19 18:29:54
"Sometimes things feel okay, sometimes they don’t. I don’t want to worry anyone.",0,2024-12-06 06:19:46
I'm worried about my upcoming exam. I'm trying to maintain a routine to stay grounded. I'm studying hard but still feel nervous.,0,2025-01-13 11:15:17
I’ve been isolating myself lately. Maybe I just need some rest. It’s just easier.,0,2024-11-06 02:24:57
Sometimes I feel like no one understands me. I'm trying to be kinder to myself during this time. But I know that's not really true.,0,2024-08-14 15:45:21
Sometimes I feel like no one understands me. I've been journaling to process my feelings. But I know that's not really true.,0,2024-11-16 21:29:27
I'm worried about my upcoming exam. I'm focusing on small victories each day. I'm studying hard but still feel nervous.,0,2024-11-19 00:53:40
My friend and I had an argument. I know I need to improve my sleep habits. I hope we can work things out.,0,2025-03-10 15:05:47
Sometimes I feel like no one understands me. I'm trying to maintain a routine to stay grounded. But I know that's not really true.,0,2024-09-22 07:56:39
I'm worried about my upcoming exam. I'm focusing on small victories each day. I'm studying hard but still feel nervous.,0,2025-06-28 13:16:25
I've been feeling a bit down lately. I'm practicing self-care when I can. But I'm trying to stay positive.,0,2024-08-28 20:08:47
My friend and I had an argument. I'm focusing on small victories each day. I hope we can work things out.,0,2025-05-18 22:43:19
I feel completely hopeless. I feel like I'm drowning and can't breathe. I just want the pain to stop.,1,2025-03-14 12:43:10
"Sometimes things feel okay, sometimes they don’t. It’s hard to focus on anything.",1,2024-11-30 03:02:46
I've been thinking about ending it all. I've been stockpiling pills just in case. No one would miss me anyway.,1,2025-07-16 03:51:32
I'm worried about my upcoming exam. I've been reading self-help books that give me perspective. I'm studying hard but still feel nervous.,0,2025-06-30 20:27:33
I've been cutting myself again. I'm exhausted from pretending to be okay. The physical pain distracts from the emotional torture.,1,2025-01-17 10:33:25
I feel like I’m on autopilot. I wish I knew what to do.,0,2025-01-31 17:46:05
"I keep overthinking everything. I’m doing what I can, even if it’s not much. It’s exhausting.",1,2024-08-23 02:31:09
My mood has been up and down. I've been journaling to process my feelings. I'm trying to identify my triggers.,0,2024-12-09 14:34:06
I’ve been isolating myself lately. But I’m still trying to keep it together. It’s just easier.,1,2024-08-30 15:11:13
I've been feeling a bit down lately. I'm focusing on small victories each day. But I'm trying to stay positive.,0,2024-12-02 01:43:18
I'm a burden to everyone around me. No one understands what I'm going through. They'd be better off without me.,1,2024-08-14 15:02:20
I'm a burden to everyone around me. I'm exhausted from pretending to be okay. They'd be better off without me.,1,2024-11-06 19:03:59
Work has been stressful this week. I know this is temporary and will pass. I need to find better coping mechanisms.,0,2025-07-09 20:20:32
Lately I’ve been feeling lost. I feel like I’m stuck in a loop. I'm not sure what to make of it.,1,2025-03-17 02:10:06
I had an anxiety attack yesterday. I know this is temporary and will pass. Breathing exercises helped me through it.,0,2024-12-25 22:29:41
I can’t tell if I’m just tired or something more. But I’m still trying to keep it together.,1,2025-06-22 09:47:58
I feel like I’m on autopilot. I wish I knew what to do.,1,2025-01-08 15:24:06
I'm worried about my upcoming exam. I'm focusing on small victories each day. I'm studying hard but still feel nervous.,0,2024-12-28 23:05:18
I had trouble sleeping last night. I'm trying to maintain a routine to stay grounded. Going to try meditation tonight.,0,2025-05-17 08:12:28
I can't take it anymore. Everything feels pointless and I don't see a reason to continue. I feel like I'm drowning and can't breathe.,1,2024-12-01 11:47:02
I don’t know if this is normal or not. But I’m still trying to keep it together.,1,2024-12-24 18:30:15
"Some days I feel like giving up, other days I feel hopeful. I’m doing what I can, even if it’s not much.",1,2024-10-20 00:21:20
My mood has been up and down. I'm trying new hobbies to distract myself positively. I'm trying to identify my triggers.,0,2024-09-28 08:40:42
I've been feeling unmotivated lately. I've been exercising more to help with my mood. Looking for ways to get my energy back.,0,2025-04-30 15:03:29
I've been thinking about ending it all. I've been feeling this way for months now. No one would miss me anyway.,1,2025-08-01 15:00:39
I'm a burden to everyone around me. I've lost my job and have no purpose anymore. They'd be better off without me.,1,2024-08-08 20:54:19
My mood has been up and down. I've been more open with my family about my feelings. I'm trying to identify my triggers.,0,2025-06-03 16:43:40
Work has been stressful this week. I've been reading self-help books that give me perspective. I need to find better coping mechanisms.,0,2024-11-25 12:10:44
I can’t tell if I’m just tired or something more. But I’m still trying to keep it together.,1,2024-12-24 05:48:37
I've been planning how to kill myself. I'm completely alone in this world. I don't see any other way out.,1,2025-04-07 01:14:18
I had trouble sleeping last night. I've been reading self-help books that give me perspective. Going to try meditation tonight.,0,2024-12-25 11:29:06
